cd,dt,ncv,cv,cr,ov,hv,lv
KOSPI,20210210,3100.58,15.91,0.52,3088.13,3111.88,3064.25
KOSPI,20210209,3084.67,-6.57,-0.21,3102.25,3129.66,3084.67
KOSPI,20210208,3091.24,-29.39,-0.94,3113.63,3128.54,3085.59
KOSPI,20210205,3120.63,33.08,1.07,3098.49,3124.62,3081.78
KOSPI,20210204,3087.55,-42.13,-1.35,3135.02,3135.02,3068.46
KOSPI,20210203,3129.68,32.87,1.06,3108.42,3142.26,3091.85
KOSPI,20210202,3096.81,40.28,1.32,3065.56,3138.95,3065.56
KOSPI,20210201,3056.53,80.32,2.7,2976.81,3056.87,2947.24
KOSPI,20210129,2976.21,-92.84,-3.03,3078.73,3100.22,2962.7
KOSPI,20210128,3069.05,-53.51,-1.71,3114.98,3114.98,3046.64
KOSPI,20210127,3122.56,-17.75,-0.57,3143.46,3182.53,3118.89
KOSPI,20210126,3140.31,-68.68,-2.14,3203.96,3209.18,3132.67
KOSPI,20210125,3208.99,68.36,2.18,3144.01,3212.22,3142.8
KOSPI,20210122,3140.63,-20.21,-0.64,3163.83,3185.26,3140.6
KOSPI,20210121,3160.84,46.29,1.49,3123.27,3163.21,3123.27
KOSPI,20210120,3114.55,21.89,0.71,3115.04,3145.01,3077.15
KOSPI,20210119,3092.66,78.73,2.61,3013.05,3107.0,3011.32
KOSPI,20210118,3013.93,-71.97,-2.33,3079.9,3079.9,3003.89
KOSPI,20210115,3085.9,-64.03,-2.03,3153.84,3189.9,3085.9
KOSPI,20210114,3149.93,1.64,0.05,3148.65,3159.03,3128.72
KOSPI,20210113,3148.29,22.34,0.71,3128.26,3164.37,3109.63
KOSPI,20210112,3125.95,-22.5,-0.71,3145.87,3154.79,3047.56
KOSPI,20210111,3148.45,-3.73,-0.12,3161.9,3266.23,3096.19
KOSPI,20210108,3152.18,120.5,3.97,3040.11,3161.11,3040.11
KOSPI,20210107,3031.68,63.47,2.14,2980.75,3055.28,2980.75
KOSPI,20210106,2968.21,-22.36,-0.75,2993.34,3027.16,2961.37
KOSPI,20210105,2990.57,46.12,1.57,2943.67,2990.57,2921.84
KOSPI,20210104,2944.45,70.98,2.47,2874.5,2946.54,2869.11
KOSPI,20201230,2873.47,52.96,1.88,2820.36,2878.21,2809.35
KOSPI,20201229,2820.51,11.91,0.42,2810.55,2823.44,2792.06
KOSPI,20201228,2808.6,1.74,0.06,2820.95,2834.59,2799.56
KOSPI,20201224,2806.86,47.04,1.7,2762.6,2812.16,2762.6
KOSPI,20201223,2759.82,26.14,0.96,2737.74,2769.08,2716.28
KOSPI,20201222,2733.68,-44.97,-1.62,2772.03,2774.22,2733.64
KOSPI,20201221,2778.65,6.47,0.23,2771.98,2780.24,2747.09
KOSPI,20201218,2772.18,1.75,0.06,2770.95,2782.15,2762.8
KOSPI,20201217,2770.43,-1.36,-0.05,2769.89,2772.71,2742.25
KOSPI,20201216,2771.79,14.97,0.54,2763.64,2781.08,2761.5
KOSPI,20201215,2756.82,-5.38,-0.19,2763.65,2769.37,2735.08
KOSPI,20201214,2762.2,-7.86,-0.28,2769.43,2782.79,2755.29
KOSPI,20201211,2770.06,23.6,0.86,2754.16,2781.04,2754.16
KOSPI,20201210,2746.46,-9.01,-0.33,2750.34,2765.46,2718.7
