True,close
1990-01-04,928.82
1990-01-05,915.11
1990-01-06,912.86
1990-01-08,919.46
1990-01-09,920.21
1990-01-10,911.48
1990-01-11,903.27
1990-01-12,903.11
1990-01-13,893.47
1990-01-15,883.04
1990-01-16,883.43
1990-01-17,874.41
1990-01-18,874.81
1990-01-19,868.2
1990-01-20,872.97
1990-01-22,898.89
1990-01-23,890.52
1990-01-24,903.58
1990-01-25,905.75
1990-01-29,897.32
1990-01-30,888.47
1990-01-31,896.16
1990-02-01,885.83
1990-02-02,878.15
1990-02-03,874.92
1990-02-05,877.45
1990-02-06,886.86
1990-02-07,880.39
1990-02-08,882.52
1990-02-09,879.1
1990-02-10,873.59
1990-02-12,867.05
1990-02-13,866.57
1990-02-14,872.63
1990-02-15,874.09
1990-02-16,872.5
1990-02-17,866.93
1990-02-19,859.24
1990-02-20,856.64
1990-02-21,853.04
1990-02-22,853.45
1990-02-23,850.84
1990-02-24,845.25
1990-02-26,833.81
1990-02-27,859.83
1990-02-28,861.59
1990-03-02,884.07
1990-03-03,881.44
1990-03-05,865.22
1990-03-06,857.58
1990-03-07,847.46
1990-03-08,847.77
1990-03-09,852.7
1990-03-12,850.65
1990-03-13,841.56
1990-03-14,838.19
1990-03-15,835.59
1990-03-16,842.27
1990-03-17,835.13
1990-03-19,839.42
1990-03-20,849.98
1990-03-21,849.91
1990-03-22,845.96
1990-03-23,841.79
1990-03-24,837.4
1990-03-26,834.54
1990-03-27,827.92
1990-03-28,819.04
1990-03-29,824.59
1990-03-30,845.98
1990-03-31,840.89
1990-04-02,838.29
1990-04-03,836.63
1990-04-04,828.98
1990-04-06,831.73
1990-04-07,819.3
1990-04-09,816.78
1990-04-10,810.76
1990-04-11,813.66
1990-04-12,806.86
1990-04-13,803.15
1990-04-14,793.14
1990-04-16,777.0
1990-04-17,796.56
1990-04-18,781.53
1990-04-19,768.31
1990-04-20,767.45
1990-04-21,780.04
1990-04-23,774.4
1990-04-24,768.47
1990-04-25,755.07
1990-04-26,726.11
1990-04-27,748.86
1990-04-28,720.37
1990-04-30,688.66
1990-05-01,718.45
1990-05-03,750.82
1990-05-04,782.33
1990-05-07,791.56
1990-05-08,796.54
1990-05-09,793.36
1990-05-10,771.76
1990-05-11,762.27
1990-05-12,749.08
1990-05-14,734.42
1990-05-15,724.76
1990-05-16,756.87
1990-05-17,773.43
1990-05-18,766.15
1990-05-19,765.16
1990-05-21,770.28
1990-05-22,785.93
1990-05-23,787.91
1990-05-24,785.79
1990-05-25,790.73
1990-05-26,783.74
1990-05-28,778.23
1990-05-29,783.87
1990-05-30,789.89
1990-05-31,797.95
1990-06-01,803.64
1990-06-02,804.85
