순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"69,700","200","0.3","23,677,989","1,654,493,266,700","70,100","70,500","69,300","416,093,843,735,000","18.76","5,969,782,550","3,365,148,246","56.37",2516
2,000660,SK하이닉스,"111,500","2,500","2.3","6,617,912","735,573,889,408","110,500","114,500","109,000","81,172,263,697,500","3.66","728,002,365","367,110,569","50.43",
3,051910,LG화학,"846,000","5,000","0.6","372,854","312,207,837,681","839,000","846,000","827,000","59,721,122,178,000","2.69","70,592,343","30,086,479","42.62",
4,207940,삼성바이오로직스,"805,000","15,000","1.9","143,791","114,495,391,000","786,000","805,000","782,000","53,262,825,000,000","2.40","66,165,000","6,603,980","9.98",
5,005935,삼성전자우,"64,400","600","0.9","4,230,687","271,836,229,856","64,500","65,000","63,800","52,993,903,480,000","2.39","822,886,700","696,127,150","84.60",
6,068270,셀트리온,"351,000","4,000","1.2","1,704,361","599,930,726,000","345,000","359,500","343,000","47,384,229,555,000","2.14","134,997,805","27,725,156","20.54",
7,035420,NAVER,"287,000","3,500","1.2","740,985","211,714,389,000","285,000","287,000","283,500","47,143,594,365,000","2.13","164,263,395","91,928,911","55.96",
8,005380,현대차,"196,500","14,000","7.7","6,053,809","1,153,366,325,000","183,500","196,500","182,000","41,985,798,745,500","1.89","213,668,187","66,702,538","31.22",
9,006400,삼성SDI,"552,000","0","0.0","350,643","192,355,080,035","550,000","553,000","545,000","37,958,020,560,000","1.71","68,764,530","29,933,821","43.53",
10,035720,카카오,"374,000","1,000","0.3","464,371","172,639,635,000","373,000","374,000","369,000","33,016,571,896,000","1.49","88,279,604","28,504,151","32.29",
11,000270,기아차,"64,700","3,900","6.4","4,152,306","259,896,826,800","60,800","64,800","60,000","26,227,008,550,900","1.18","405,363,347","152,638,710","37.65",
12,051900,LG생활건강,"1,527,000","-14,000","-0.9","28,777","44,008,508,000","1,525,000","1,539,000","1,525,000","23,848,986,819,000","1.08","15,618,197","7,122,869","45.61",
13,012330,현대모비스,"245,500","5,000","2.1","521,119","126,732,019,000","240,000","245,500","238,500","23,335,927,377,000","1.05","95,054,694","41,254,810","43.40",
14,028260,삼성물산,"122,000","0","0.0","501,979","60,854,728,000","122,500","122,500","120,500","22,800,223,882,000","1.03","186,887,081","26,596,068","14.23",
