번호,종목코드,종목명,시장구분,증권구분,주식종류,상장일,폐지일,폐지사유,정리매매기간_시작일,정리매매기간_종료일,업종,액면가,상장주식수,이전상장후_종목코드,이전상장후_종목명
"1","189330","씨이랩","KONEX","주권","보통주","2013/12/24","2021/02/24","코스닥시장 이전상장",,,"-","500","2287142","189330","씨이랩"
"2","239890","피엔에이치테크","KONEX","주권","보통주","2016/08/16","2021/02/16","코스닥시장 이전상장",,,"-","500","3995376","239890","피엔에이치테크"
"3","036260","이매진아시아","KOSDAQ","주권","보통주","1999/12/10","2021/02/15","기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당","2021/02/02","2021/02/10","오락·문화","500","43778171",,
"4","278380","원바이오젠","KONEX","주권","보통주","2019/06/03","2021/02/09","피흡수합병",,,"-","500","2394060",,
"5","241510","이에스산업","KONEX","주권","보통주","2016/04/26","2021/01/26","지정자문인 선임계약 해지 후 30일 이내 미체결(2021.1.13 限)","2021/01/15","2021/01/25","-","500","5983000",,
"6","291210","한국제7호스팩","KOSDAQ","주권","보통주","2018/05/11","2021/01/15","상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동사유 미해소","2021/01/06","2021/01/14","금융","100","5060000",,
"7","284610","TS트릴리온","KONEX","주권","보통주","2017/12/22","2020/12/30","피흡수합병",,,"-","100","37657000",,
"8","251960","엠에프엠코리아","KONEX","주권","보통주","2016/09/08","2020/12/30","피흡수합병",,,"-","500","10719488",,
"9","057500","SKC 솔믹스","KOSDAQ","주권","보통주","2001/12/26","2020/12/23","타법인의 완전자회사로 편입",,,"반도체","500","61494040",,
"10","314130","지놈앤컴퍼니","KONEX","주권","보통주","2018/12/26","2020/12/23","코스닥시장 이전상장",,,"-","500","11319477","314130","지놈앤컴퍼니"
"11","152330","코리아오토글라스","KOSPI","주권","보통주","2015/12/29","2020/12/18","해산 사유 발생",,,"비금속광물","5000","20000000",,
"12","064850","에프앤가이드","KONEX","주권","보통주","2013/07/01","2020/12/17","코스닥시장 이전상장",,,"-","500","11000000","064850","에프앤가이드"
"13","003415","쌍용양회우","KOSPI","주권","구형우선주","1992/04/23","2020/12/03","신청에 의한 상장폐지",,,"비금속광물","1000","1543685","003410","쌍용양회공업"
"14","271780","비엔에프코퍼레이션","KONEX","주권","보통주","2018/11/30","2020/11/05","상장폐지 신청('20.10.13)",,,"-","100","3230000",,
"15","214610","미코바이오메드","KONEX","주권","보통주","2015/06/22","2020/10/22","코스닥시장 이전상장",,,"-","500","14149376","214610","미코바이오메드"
"16","126340","비나텍","KONEX","주권","보통주","2013/07/01","2020/09/23","코스닥시장 이전상장",,,"-","500","4253300","126340","비나텍"
"17","194510","파티게임즈","KOSDAQ","주권","보통주","2014/11/21","2020/09/09","감사의견거절(감사범위 제한)","2020/09/07","2020/09/08","디지털컨텐츠","500","24488350",,
"18","277480","신한제4호스팩","KOSDAQ","주권","보통주","2017/10/20","2020/08/20","상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소","2020/08/10","2020/08/19","금융","100","6010000",,
"19","204990","코썬바이오","KOSDAQ","주권","보통주","2016/12/09","2020/08/11","기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정","2020/07/31","2020/08/10","음식료·담배","500","31942923",,
"20","228180","티씨엠생명과학","KONEX","주권","보통주","2015/10/22","2020/08/07","포괄적 주식교환에 따른 상장폐지 신청('20.7.17)",,,"-","500","3266470",,
"21","065940","바이오빌","KOSDAQ","주권","보통주","2003/01/07","2020/07/31","감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성)","2020/07/22","2020/07/30","화학","500","43987186",,
"22","101360","이엔드디","KONEX","주권","보통주","2013/07/01","2020/07/30","코스닥시장 이전상장",,,"-","500","6896300","101360","이엔드디"
"23","281410","한국제6호스팩","KOSDAQ","주권","보통주","2017/12/21","2020/07/27","상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소","2020/07/16","2020/07/24","금융","100","4510000",,
"24","225220","제놀루션","KONEX","주권","보통주","2015/08/03","2020/07/24","코스닥시장 이전상장",,,"-","500","3241584","225220","제놀루션"
"25","277880","티에스아이","KONEX","주권","보통주","2017/10/30","2020/07/22","코스닥시장 이전상장",,,"-","500","7789765","277880","티에스아이"
"26","004200","고려개발","KOSPI","주권","보통주","1978/10/30","2020/07/21","해산 사유 발생",,,"건설업","5000","15219444",,
"27","108790","인터파크","KOSDAQ","주권","보통주","2014/02/06","2020/07/16","피흡수합병",,,"유통","500","33155480",,
"28","002300","한국제지","KOSPI","주권","보통주","1971/06/23","2020/07/13","해산 사유 발생",,,"종이목재","5000","5004949",,
"29","149940","모다","KOSDAQ","주권","보통주","2012/09/25","2020/07/10","감사의견거절(감사범위 제한)","2020/07/08","2020/07/09","통신장비","500","21160409",,
"30","279410","한화에이스스팩4호","KOSDAQ","주권","보통주","2017/11/27","2020/07/03","상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소","2020/06/24","2020/07/02","금융","100","3495000",,
"31","134780","화진","KOSDAQ","주권","보통주","2011/08/10","2020/07/02","감사의견거절(감사범위제한)","2020/06/23","2020/07/01","운송장비·부품","500","12288743",,
"32","099340","하나니켈1호","KOSPI","투자회사","보통주","2008/02/01","2020/07/01","존속기간 만료",,,"기타금융","무액면","22756200",,
"33","099350","하나니켈2호","KOSPI","투자회사","보통주","2008/02/01","2020/07/01","존속기간 만료",,,"기타금융","무액면","3284000",,
"34","005450","신한","KOSPI","주권","보통주","1978/07/28","2020/06/30","감사의견 의견거절 2년 계속","2020/06/19","2020/06/29","건설업","5000","7022839",,
"35","112240","에스에프씨","KOSDAQ","주권","보통주","2011/11/30","2020/06/30","감사의견 거절(감사범위 제한)","2020/06/19","2020/06/29","화학","500","43981834",,
"36","229000","젠큐릭스","KONEX","주권","보통주","2015/10/27","2020/06/25","코스닥시장 이전상장",,,"-","500","5392726","229000","젠큐릭스"
"37","083370","동북아12호","KOSPI","선박투자회사","보통주","2005/08/29","2020/06/23","존속기간 만료",,,"서비스업","5000","1585660",,
"38","276920","IBKS제7호스팩","KOSDAQ","주권","보통주","2017/11/10","2020/06/18","상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소","2020/06/09","2020/06/17","금융","100","3650000",,
"39","183350","LPK로보틱스","KONEX","주권","보통주","2013/10/11","2020/06/17","외부감사인의 감사의견 거절(감사범위 제한), 감사의견 한정(감사범위 제한)","2020/06/08","2020/06/16","-","500","4698324",,
"40","220250","카이노스메드","KONEX","주권","보통주","2015/09/10","2020/06/08","피흡수합병",,,"-","500","14066238",,
"41","103130","웅진에너지","KOSPI","주권","보통주","2010/06/30","2020/06/01","감사의견 의견거절 2년 계속","2020/05/21","2020/05/29","전기전자","5000","30947322",,
"42","094190","이엘케이","KOSDAQ","주권","보통주","2007/10/29","2020/05/22","감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성)","2020/05/13","2020/05/21","IT부품","500","72327965",,
"43","900040","차이나그레이트","KOSDAQ","외국주권","보통주","2009/05/29","2020/05/22","법정제출기한까지 사업보고서를 제출하지 아니한 후, 법정제출기한의 다음날부터 10일이내에 사업보고서를 제출하지 아니함 ","2020/05/13","2020/05/21","금융","0.1","125866557",,
"44","030270","에스마크","KOSDAQ","주권","보통주","1997/01/17","2020/05/21","감사의견거절(감사범위제한 및 계속기업 존속 불확실)","2020/05/12","2020/05/20","섬유·의류","500","7562701",,
"45","054340","피앤텔","KOSDAQ","주권","보통주","2002/01/10","2020/05/21","감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성)","2020/05/12","2020/05/20","IT부품","500","4031039",,
"46","197210","리드","KOSDAQ","주권","보통주","2015/11/20","2020/05/14","기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정","2020/05/04","2020/05/13","반도체","500","25060166",,
"47","205290","케미메디","KONEX","주권","보통주","2017/01/13","2020/05/13","외부감사인의 감사의견 의견거절(감사범위 제한)","2020/04/29","2020/05/12","-","500","8159148",,
"48","189540","씨티네트웍스","KONEX","주권","보통주","2013/12/24","2020/05/12","감사의견 거절(계속기업 존속능력에 대한 불확실성)","2020/04/28","2020/05/11","-","500","2415990",,
"49","083380","동북아13호","KOSPI","선박투자회사","보통주","2005/08/29","2020/05/04","존속기간 만료",,,"서비스업","5000","1585660",,
"50","159650","하이골드8호","KOSPI","선박투자회사","보통주","2012/09/17","2020/04/27","감사의견 부적정","2020/04/16","2020/04/24","서비스업","5000","14905929",,
"51","027390","한화갤러리아타임월드","KOSPI","주권","보통주","1996/01/30","2020/04/16","지주회사(최대주주등)의 완전자회사화 등",,,"유통업","5000","6000131",,
"52","220110","드림티엔터테인먼트","KONEX","주권","보통주","2015/06/24","2020/04/10","사업보고서 법정제출기한('20.3.30限)내 미제출","2020/04/01","2020/04/09","-","200","10664262",,
"53","123260","파인넥스","KOSDAQ","주권","보통주","2011/12/05","2020/04/10","제28조제1항제9호에 따라 관리종목 지정 후 공시규정 제19조제1항에 따른 사업보고서 법정제출기한 내 미제출, 최근 2년간 3회 이상 공시규정 제19조제1항의 규정에 의한 사업보고서, 반기보고서 또는 분기보고서 법정제출기한 내 미제출","2020/04/01","2020/04/09","반도체","500","24015495",,
"54","001799","대한제당3우B","KOSPI","주권","신형우선주","2010/04/09","2020/04/08","존속기간 만료",,,"음식료품","2500","129656","001790","대한제당"
"55","011160","두산건설","KOSPI","주권","보통주","1996/01/30","2020/03/24","지주회사(최대주주등)의 완전자회사화 등",,,"건설업","500","329897110",,
