순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"59,800","-600","-1.0","17,260,416","1,032,623,352,660","60,300","60,300","59,500","356,992,996,490,000","18.70","5,969,782,550","3,353,453,906","56.17",2504
2,000660,SK하이닉스,"82,600","-600","-0.7","2,265,817","187,252,358,800","82,300","83,400","81,800","60,132,995,349,000","3.15","728,002,365","355,439,198","48.82",
3,035420,NAVER,"283,500","2,000","0.7","2,071,432","592,567,560,000","281,500","288,500","280,500","46,568,672,482,500","2.44","164,263,395","91,607,741","55.77",
4,051910,LG화학,"632,000","-14,000","-2.2","261,388","165,655,102,000","633,000","641,000","627,000","44,614,360,776,000","2.34","70,592,343","27,372,788","38.78",
5,005935,삼성전자우,"53,400","-100","-0.2","1,808,876","96,338,495,552","53,300","53,400","52,900","43,942,149,780,000","2.30","822,886,700","712,291,752","86.56",
6,207940,삼성바이오로직스,"635,000","5,000","0.8","127,882","81,767,311,000","630,000","656,000","624,000","42,014,775,000,000","2.20","66,165,000","6,637,000","10.03",
7,005380,현대차,"172,500","1,000","0.6","3,317,704","579,159,503,000","173,000","178,000","171,000","36,857,762,257,500","1.93","213,668,187","66,626,206","31.18",
8,068270,셀트리온,"239,000","1,000","0.4","687,981","165,259,551,500","237,500","245,000","234,000","32,263,503,382,000","1.69","134,993,738","27,950,371","20.70",
9,006400,삼성SDI,"430,000","12,500","3.0","399,221","169,681,349,500","413,000","431,500","413,000","29,568,747,900,000","1.55","68,764,530","28,946,271","42.09",
10,035720,카카오,"334,000","4,500","1.4","812,610","273,531,916,000","324,500","343,500","324,500","29,474,771,546,000","1.54","88,247,819","28,127,636","31.87",
11,051900,LG생활건강,"1,543,000","28,000","1.8","43,164","66,020,699,000","1,503,000","1,543,000","1,495,000","24,098,877,971,000","1.26","15,618,197","7,105,598","45.50",
12,012330,현대모비스,"244,500","1,000","0.4","796,662","197,468,369,500","242,000","254,000","241,500","23,240,872,683,000","1.22","95,054,694","41,093,610","43.23",
13,028260,삼성물산,"115,500","-2,500","-2.1","2,862,367","336,104,083,658","120,000","121,500","114,000","21,585,457,855,500","1.13","186,887,081","25,628,747","13.71",
14,000270,기아차,"52,900","4,950","10.3","9,347,585","485,463,898,950","50,600","53,000","49,600","21,443,721,056,300","1.12","405,363,347","156,699,694","38.66",
15,005490,POSCO,"220,000","2,000","0.9","511,872","111,938,738,000","218,000","220,000","216,000","19,181,103,700,000","1.00","87,186,835","44,410,997","50.94",
16,017670,SK텔레콤,"232,500","-1,500","-0.6","198,183","45,978,497,000","233,000","234,000","230,500","18,773,377,807,500","0.98","80,745,711","28,453,967","35.24",
