순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"60,900","900","1.5","19,326,115","1,172,317,250,906","60,300","60,900","60,100","363,559,757,295,000","18.71","5,969,782,550","3,353,917,884","56.18",2503
2,000660,SK하이닉스,"85,200","-1,500","-1.7","6,622,637","567,966,165,400","85,300","90,900","83,700","62,025,801,498,000","3.19","728,002,365","357,115,362","49.05",
3,035420,NAVER,"290,000","4,000","1.4","535,870","153,114,238,000","286,500","291,000","281,000","47,636,384,550,000","2.45","164,263,395","91,573,591","55.75",
4,207940,삼성바이오로직스,"682,000","-4,000","-0.6","81,702","55,260,000,000","682,000","689,000","670,000","45,124,530,000,000","2.32","66,165,000","6,712,176","10.14",
5,005935,삼성전자우,"53,300","300","0.6","1,808,384","96,387,526,732","52,900","53,800","52,600","43,859,861,110,000","2.26","822,886,700","713,607,104","86.72",
6,051910,LG화학,"621,000","6,000","1.0","483,397","297,999,314,000","606,000","626,000","605,000","43,837,845,003,000","2.26","70,592,343","27,008,915","38.26",
7,005380,현대차,"167,500","-500","-0.3","5,697,398","924,496,647,000","157,000","168,500","156,500","35,789,421,322,500","1.84","213,668,187","66,346,397","31.05",
8,068270,셀트리온,"245,500","-10,000","-3.9","1,215,368","297,771,736,000","252,000","253,000","240,500","33,140,962,679,000","1.71","134,993,738","27,823,686","20.61",
9,035720,카카오,"352,500","-500","-0.1","759,973","262,893,243,500","348,000","353,000","340,000","31,107,356,197,500","1.60","88,247,819","28,233,834","31.99",
10,006400,삼성SDI,"432,500","19,500","4.7","317,386","133,644,086,000","406,500","432,500","406,500","29,740,659,225,000","1.53","68,764,530","28,879,826","42.00",
11,051900,LG생활건강,"1,547,000","-15,000","-1.0","18,165","28,427,315,000","1,571,000","1,577,000","1,547,000","24,161,350,759,000","1.24","15,618,197","7,106,678","45.50",
12,012330,현대모비스,"237,500","15,000","6.7","1,301,084","298,767,487,500","216,000","237,500","214,000","22,575,489,825,000","1.16","95,054,694","41,177,768","43.32",
13,028260,삼성물산,"102,500","-500","-0.5","281,942","28,863,451,500","102,500","103,500","101,500","19,155,925,802,500","0.99","186,887,081","26,119,356","13.98",
14,000270,기아차,"46,850","150","0.3","4,399,855","199,519,887,200","43,150","47,150","43,150","18,991,272,806,950","0.98","405,363,347","156,206,216","38.53",
15,017670,SK텔레콤,"233,000","500","0.2","193,210","44,751,362,000","232,000","233,500","230,000","18,813,750,663,000","0.97","80,745,711","28,572,940","35.39",
16,005490,POSCO,"206,500","-2,000","-1.0","350,583","72,452,035,500","207,000","210,500","204,000","18,004,081,427,500","0.93","87,186,835","44,535,565","51.08",
